date,total_kwh
2019-08-01,739.580333333293
2019-08-02,592.206444444486
2019-08-03,829.378333333355
2019-08-04,671.879888888881
2019-08-05,891.025666666616
2019-08-06,969.050555555606
2019-08-07,939.914666666657
2019-08-08,895.496999999988
2019-08-09,904.589111111028
2019-08-10,783.93622222223
2019-08-11,747.596888888897
2019-08-12,890.895555555543
2019-08-13,901.644333333356
2019-08-14,930.621333333322
2019-08-15,950.14377777774
2019-08-16,981.549333333338
2019-08-17,1009.93888888885
2019-08-18,955.657888888912
2019-08-19,700.845111111112
2019-08-20,785.190111111085
2019-08-21,944.410555555561
2019-08-22,887.257999999983
2019-08-23,804.751333333322
2019-08-24,897.797666666621
2019-08-25,869.480777777783
2019-08-26,957.571000000025
2019-08-27,882.460444444473
2019-08-28,931.540888888912
2019-08-29,835.202888888865
2019-08-30,733.154222222208
2019-08-31,893.670444444436
2019-09-01,998.808777777799
2019-09-02,976.729444444426
2019-09-03,956.682666666739
2019-09-04,1019.2143333334
2019-09-05,970.660444444409
2019-09-06,938.448777777709
2019-09-07,906.7006666667
2019-09-08,999.08733333334
2019-09-09,1012.41444444447
2019-09-10,946.840000000011
2019-09-11,867.333666666666
2019-09-12,985.742333333358
2019-09-13,835.556444444445
2019-09-14,800.166555555611
2019-09-15,1035.22911111111
2019-09-16,687.307222222206
2019-09-17,670.344444444455
2019-09-18,743.394666666688
2019-09-19,710.252555555554
2019-09-20,859.700444444448
2019-09-21,747.792333333325
2019-09-22,793.428777777766
2019-09-23,952.511888888849
2019-09-24,949.069999999941
2019-09-25,886.451888888863
2019-09-26,838.348333333339
2019-09-27,710.699444444441
2019-09-28,561.00222222223
2019-09-29,886.504999999971
2019-09-30,1104.66533333338
2019-10-01,1080.73222222224
2019-10-02,1038.77033333341
2019-10-03,744.529777777819
2019-10-04,688.745999999996
2019-10-05,575.383111111105
2019-10-06,835.927000000015
2019-10-07,807.335111111134
2019-10-08,793.232777777802
2019-10-09,788.404000000015
2019-10-10,1050.88855555563
2019-10-11,868.364333333346
2019-10-12,918.392111111117
2019-10-13,1097.51522222231
2019-10-14,1144.38777777783
2019-10-15,1109.98055555551
2019-10-16,904.119111111115
2019-10-17,822.823111111109
2019-10-18,637.238666666678
2019-10-19,893.393000000056
2019-10-20,773.343555555588
2019-10-21,739.4107777778
2019-10-22,856.793888888889
2019-10-23,679.87477777779
2019-10-24,698.355333333326
2019-10-25,671.811000000006
2019-10-26,603.582777777792
2019-10-27,481.183444444441
2019-10-28,955.639777777785
2019-10-29,753.662777777787
2019-10-30,804.244111111127
2019-10-31,1140.26044444454
2019-11-01,1101.8087777778
2019-11-02,1173.20966666671
2019-11-03,1128.90777777768
2019-11-04,1018.16266666673
2019-11-05,1077.90955555558
2019-11-06,1150.18733333335
2019-11-07,1128.90522222219
2019-11-08,1048.35055555555
2019-11-09,1077.93122222223
2019-11-10,1046.14155555558
2019-11-11,1118.9178888889
2019-11-12,1131.82977777777
2019-11-13,1107.20744444451
2019-11-14,1101.23077777778
2019-11-15,938.487333333313
2019-11-16,961.763333333331
2019-11-17,1112.81377777768
2019-11-18,996.864777777749
2019-11-19,904.893333333338
2019-11-20,1104.09422222216
2019-11-21,998.419888888903
2019-11-22,858.587888888884
2019-11-23,845.515666666677
2019-11-24,888.268666666653
2019-11-25,1065.53744444449
2019-11-26,963.895444444373
2019-11-27,1101.72988888886
2019-11-28,1062.53666666648
2019-11-29,1058.0106666667
2019-11-30,1051.09733333328
2019-12-01,969.213555555479
2019-12-02,682.494222222226
2019-12-03,582.516666666679
2019-12-04,753.89911111112
2019-12-05,1054.30600000002
2019-12-06,957.185555555549
2019-12-07,1065.51999999999
2019-12-08,1127.29522222222
2019-12-09,1130.36755555557
2019-12-10,954.865111111122
2019-12-11,740.883777777791
2019-12-12,987.653555555539
2019-12-13,816.936333333346
2019-12-14,773.364111111121
2019-12-15,721.040777777803
2019-12-16,1108.57777777786
2019-12-17,1051.45233333333
2019-12-18,913.448222222239
2019-12-19,1061.63788888897
2019-12-20,1074.46299999996
2019-12-21,1036.63177777781
2019-12-22,1079.87055555554
2019-12-23,1007.92833333336
2019-12-24,1070.93988888887
2019-12-25,984.570999999988
2019-12-26,993.333222222215
2019-12-27,1031.41799999999
2019-12-28,585.845666666658
2019-12-29,551.219333333339
